Date,Temperature (°C),Temperature max,Temperature min,Water Temperature,Precipitation / Rainfall (mm),Index
"January 01, 2020",29,,,,0.5 mm | 0.0 inch.,0
"March 15, 2020",29,,,,0.1 mm | 0.0 inch.,74
"March 16, 2020",29,,,,0.3 mm | 0.0 inch.,75
"March 17, 2020",29,,,,0.4 mm | 0.0 inch.,76
"March 18, 2020",31,,,,0.2 mm | 0.0 inch.,77
"March 19, 2020",32,,,,0.5 mm | 0.0 inch.,78
"March 20, 2020",31,,,,0.0 mm | 0.0 inch.,79
"March 21, 2020",32,,,,0.9 mm | 0.0 inch.,80
"March 22, 2020",32,,,,1.5 mm | 0.1 inch.,81
"March 23, 2020",32,,,,0.5 mm | 0.0 inch.,82
"March 24, 2020",31,,,,2.0 mm | 0.1 inch.,83
"March 25, 2020",31,,,,1.0 mm | 0.0 inch.,84
"March 26, 2020",32,,,,0.5 mm | 0.0 inch.,85
"March 27, 2020",31,,,,0.6 mm | 0.0 inch.,86
"March 28, 2020",32,,,,0.6 mm | 0.0 inch.,87
"March 29, 2020",32,,,,1.4 mm | 0.1 inch.,88
"March 30, 2020",32,,,,1.6 mm | 0.1 inch.,89
"March 31, 2020",32,,,,1.2 mm | 0.0 inch.,90
"April 01, 2020",31,,,,0.8 mm | 0.0 inch.,91
"April 02, 2020",31,,,,0.1 mm | 0.0 inch.,92
"April 03, 2020",32,,,,0.9 mm | 0.0 inch.,93
"April 04, 2020",31,,,,1.3 mm | 0.0 inch.,94
"April 05, 2020",32,,,,1.0 mm | 0.0 inch.,95
"April 06, 2020",34,,,,0.4 mm | 0.0 inch.,96
"April 07, 2020",33,,,,0.4 mm | 0.0 inch.,97
"April 08, 2020",33,,,,0.6 mm | 0.0 inch.,98
"April 09, 2020",32,,,,0.2 mm | 0.0 inch.,99
"April 10, 2020",33,,,,0.4 mm | 0.0 inch.,100
"April 11, 2020",33,,,,0.7 mm | 0.0 inch.,101
"April 12, 2020",33,,,,0.3 mm | 0.0 inch.,102
"April 13, 2020",32,,,,0.9 mm | 0.0 inch.,103
"April 14, 2020",32,,,,0.6 mm | 0.0 inch.,104
"April 15, 2020",33,,,,0.6 mm | 0.0 inch.,105
"April 16, 2020",33,,,,0.5 mm | 0.0 inch.,106
"April 17, 2020",35,,,,0.7 mm | 0.0 inch.,107
"April 18, 2020",34,,,,1.0 mm | 0.0 inch.,108
"April 19, 2020",34,,,,2.1 mm | 0.1 inch.,109
"April 20, 2020",34,,,,1.2 mm | 0.0 inch.,110
"April 21, 2020",35,,,,2.1 mm | 0.1 inch.,111
"April 22, 2020",34,,,,1.4 mm | 0.1 inch.,112
"April 23, 2020",34,,,,0.7 mm | 0.0 inch.,113
"April 24, 2020",34,,,,0.9 mm | 0.0 inch.,114
"April 25, 2020",35,,,,1.6 mm | 0.1 inch.,115
"April 26, 2020",34,,,,1.8 mm | 0.1 inch.,116
"April 27, 2020",34,,,,1.8 mm | 0.1 inch.,117
"April 28, 2020",29,,,,1.6 mm | 0.1 inch.,118
"April 29, 2020",34,,,,1.2 mm | 0.0 inch.,119
"April 30, 2020",35,,,,1.5 mm | 0.1 inch,120
"May 01, 2020",35,,,,1.3 mm | 0.1 inch.,121
"May 02, 2020",35,,,,1.3 mm | 0.1 inch.,122
"May 03, 2020",33,,,,3.1 mm | 0.1 inch.,123
"May 04, 2020",34,,,,3.1 mm | 0.1 inch.,124
"May 05, 2020",32,,,,1.5 mm | 0.1 inch.,125
"May 06, 2020",31,,,,2.9 mm | 0.1 inch.,126
"May 07, 2020",28,,,,7.0 mm | 0.3 inch.,127
"May 08, 2020",32,,,,6.3 mm | 0.2 inch.,128
"May 09, 2020",32,,,,4.6 mm | 0.2 inch.,129
"May 10, 2020",30,,,,6.0 mm | 0.2 inch.,130
"May 11, 2020",31,,,,2.5 mm | 0.1 inch.,131
"May 12, 2020",34,,,,5.3 mm | 0.2 inch.,132
"May 13, 2020",34,,,,2.8 mm | 0.1 inch.,133
"May 14, 2020",36,,,,3.3 mm | 0.1 inch.,134
"May 15, 2020",36,,,,2.6 mm | 0.1 inch.,135
"May 16, 2020",35,,,,4.9 mm | 0.2 inch.,136
"May 17, 2020",30,,,,6.8 mm | 0.3 inch.,137
"May 18, 2020",31,,,,5.7 mm | 0.2 inch.,138
"May 19, 2020",31,,,,4.0 mm | 0.2 inch.,139
"May 20, 2020",30,,,,4.4 mm | 0.2 inch.,140
"May 21, 2020",30,,,,6.9 mm | 0.3 inch.,141
"May 22, 2020",28,,,,7.5 mm | 0.3 inch.,142
"May 23, 2020",30,,,,5.7 mm | 0.2 inch.,143
"May 24, 2020",29,,,,5.7 mm | 0.2 inch.,144
"May 25, 2020",28,,,,7.5 mm | 0.3 inch.,145
"May 26, 2020",29,,,,8.6 mm | 0.3 inch.,146
"May 27, 2020",29,,,,9.5 mm | 0.4 inch.,147
"May 28, 2020",29,,,,10.6 mm | 0.4 inch.,148
"May 29, 2020",28,,,,6.2 mm | 0.2 inch.,149
"May 30, 2020",30,,,,9.5 mm | 0.4 inch.,150
"May 31, 2020",30,,,,6.3 mm | 0.2 inch,151
"June 01, 2020",29,,,,5.5 mm | 0.2 inch.,152
"June 02, 2020",32,,,,9.1 mm | 0.4 inch.,153
"June 03, 2020",30,,,,8.5 mm | 0.3 inch.,154
"June 04, 2020",30,,,,8.2 mm | 0.3 inch.,155
"June 05, 2020",30,,,,9.8 mm | 0.4 inch.,156
"June 06, 2020",31,,,,11.6 mm | 0.5 inch.,157
"June 07, 2020",31,,,,9.8 mm | 0.4 inch.,158
"June 08, 2020",31,,,,11.8 mm | 0.5 inch.,159
"June 09, 2020",30,,,,12.2 mm | 0.5 inch.,160
"June 10, 2020",29,,,,5.8 mm | 0.2 inch.,161
"June 11, 2020",28,,,,12.9 mm | 0.5 inch.,162
"June 12, 2020",31,,,,6.3 mm | 0.2 inch.,163
"June 13, 2020",30,,,,9.9 mm | 0.4 inch.,164
"June 14, 2020",29,,,,6.8 mm | 0.3 inch.,165
"June 15, 2020",30,,,,8.6 mm | 0.3 inch.,166
"June 16, 2020",30,,,,8.8 mm | 0.3 inch.,167
"June 17, 2020",31,,,,12.1 mm | 0.5 inch.,168
"June 18, 2020",30,,,,9.7 mm | 0.4 inch.,169
"June 19, 2020",31,,,,9.7 mm | 0.4 inch.,170
"June 20, 2020",31,,,,7.4 mm | 0.3 inch.,171
"June 21, 2020",31,,,,12.0 mm | 0.5 inch.,172
"June 22, 2020",31,,,,13.0 mm | 0.5 inch.,173
"June 23, 2020",28,,,,12.5 mm | 0.5 inch.,174
"June 24, 2020",27,,,,14.1 mm | 0.6 inch.,175
"June 25, 2020",29,,,,8.4 mm | 0.3 inch.,176
"June 26, 2020",28,,,,9.5 mm | 0.4 inch.,177
"June 27, 2020",27,,,,6.5 mm | 0.3 inch.,178
"June 28, 2020",28,,,,7.5 mm | 0.3 inch.,179
"June 29, 2020",27,,,,9.6 mm | 0.4 inch.,180
"June 30, 2020",28,,,,6.0 mm | 0.2 inch.,181
"July 01, 2020",26,,,,4.8 mm | 0.2 inch.,182
"July 02, 2020",29,,,,7.2 mm | 0.3 inch.,183
"July 03, 2020",30,,,,12.3 mm | 0.5 inch.,184
"July 04, 2020",29,,,,10.3 mm | 0.4 inch.,185
"July 05, 2020",30,,,,22.1 mm | 0.9 inch.,186
"July 06, 2020",29,,,,14.6 mm | 0.6 inch.,187
"July 07, 2020",31,,,,15.9 mm | 0.6 inch.,188
"July 08, 2020",29,,,,16.4 mm | 0.6 inch.,189
"July 09, 2020",31,,,,15.2 mm | 0.6 inch.,190
"July 10, 2020",29,,,,11.2 mm | 0.4 inch.,191
"July 11, 2020",29,,,,9.2 mm | 0.4 inch.,192
"July 12, 2020",29,,,,16.2 mm | 0.6 inch.,193
"July 13, 2020",30,,,,19.2 mm | 0.8 inch.,194
"July 14, 2020",26,,,,12.8 mm | 0.5 inch.,195
"July 15, 2020",26,,,,10.7 mm | 0.4 inch.,196
"July 16, 2020",26,,,,16.1 mm | 0.6 inch.,197
"July 17, 2020",26,,,,15.5 mm | 0.6 inch.,198
"July 18, 2020",28,,,,8.9 mm | 0.4 inch.,199
