Date,Temperature (°C),Temperature max,Temperature min,Water Temperature,Precipitation / Rainfall (mm),Index
"January 01, 2020",26,30,23,27,0.5 mm | 0.0 inch.,0
"September 11, 2020",28,31,25,29,16.0 mm | 0.6 inch.,254
"September 12, 2020",28,31,25,29,12.4 mm | 0.5 inch.,255
"September 13, 2020",28,31,25,29,8.6 mm | 0.3 inch.,256
"September 14, 2020",28,31,25,29,25.7 mm | 1.0 inch.,257
"September 15, 2020",28,31,25,29,15.1 mm | 0.6 inch.,258
"September 16, 2020",28,30,25,29,12.2 mm | 0.5 inch.,259
"September 17, 2020",28,31,25,29,9.8 mm | 0.4 inch.,260
"September 18, 2020",28,31,25,29,14.5 mm | 0.6 inch.,261
"September 19, 2020",28,31,25,29,15.0 mm | 0.6 inch.,262
"September 20, 2020",28,31,25,29,6.9 mm | 0.3 inch.,263
"September 21, 2020",28,31,25,29,9.0 mm | 0.4 inch.,264
"September 22, 2020",28,31,25,29,16.4 mm | 0.6 inch.,265
"September 23, 2020",28,31,25,29,15.2 mm | 0.6 inch.,266
"September 24, 2020",28,31,25,29,8.3 mm | 0.3 inch.,267
"September 25, 2020",28,31,25,29,10.6 mm | 0.4 inch.,268
"September 26, 2020",28,31,25,29,17.6 mm | 0.7 inch.,269
"September 27, 2020",28,31,25,29,16.7 mm | 0.7 inch.,270
"September 28, 2020",28,31,25,29,14.5 mm | 0.6 inch.,271
"September 29, 2020",28,31,25,29,8.2 mm | 0.3 inch.,272
"September 30, 2020",28,31,25,29,11.4 mm | 0.5 inch.,273
"October 01, 2020",28,31,25,29,14.9 mm | 0.6 inch.,274
"October 02, 2020",28,31,25,29,13.6 mm | 0.5 inch.,275
"October 03, 2020",28,31,24,29,9.1 mm | 0.4 inch.,276
"October 04, 2020",28,32,25,29,6.4 mm | 0.3 inch.,277
"October 05, 2020",28,32,25,29,2.2 mm | 0.1 inch.,278
"October 06, 2020",28,32,25,29,5.1 mm | 0.2 inch.,279
"October 07, 2020",28,32,25,29,9.9 mm | 0.4 inch.,280
"October 08, 2020",28,31,25,29,5.1 mm | 0.2 inch.,281
"October 09, 2020",28,31,25,29,5.6 mm | 0.2 inch.,282
"October 10, 2020",28,32,25,29,7.3 mm | 0.3 inch.,283
"October 11, 2020",28,31,25,29,8.5 mm | 0.3 inch.,284
"October 12, 2020",28,32,25,29,8.0 mm | 0.3 inch.,285
"October 13, 2020",28,31,25,29,7.8 mm | 0.3 inch.,286
"October 14, 2020",28,31,25,29,8.6 mm | 0.3 inch.,287
"October 15, 2020",28,31,25,29,4.4 mm | 0.2 inch.,288
"October 16, 2020",28,31,25,29,9.4 mm | 0.4 inch.,289
"October 17, 2020",28,31,25,29,6.3 mm | 0.2 inch.,290
"October 18, 2020",28,32,25,29,7.2 mm | 0.3 inch.,291
"October 19, 2020",28,31,25,29,6.2 mm | 0.2 inch.,292
"October 20, 2020",28,32,25,29,4.9 mm | 0.2 inch.,293
"October 21, 2020",28,32,25,29,2.5 mm | 0.1 inch.,294
"October 22, 2020",28,32,25,29,5.3 mm | 0.2 inch.,295
"October 23, 2020",28,31,25,29,6.3 mm | 0.2 inch.,296
"October 24, 2020",28,32,24,29,1.9 mm | 0.1 inch.,297
"October 25, 2020",28,32,24,29,6.8 mm | 0.3 inch.,298
"October 26, 2020",28,32,25,29,1.0 mm | 0.0 inch.,299
"October 27, 2020",28,31,25,29,4.5 mm | 0.2 inch.,300
"October 28, 2020",28,31,24,29,4.6 mm | 0.2 inch.,301
"October 29, 2020",28,31,24,29,3.3 mm | 0.1 inch.,302
"October 30, 2020",28,31,24,29,10.9 mm | 0.4 inch.,303
"October 31, 2020",28,31,24,29,2.7 mm | 0.1 inch,304
"November 01, 2020",28,31,24,29,2.8 mm | 0.1 inch.,305
"November 02, 2020",28,31,24,29,3.1 mm | 0.1 inch.,306
"November 03, 2020",28,31,25,29,4.4 mm | 0.2 inch.,307
"November 04, 2020",28,31,25,29,4.6 mm | 0.2 inch.,308
"November 05, 2020",28,31,25,29,4.6 mm | 0.2 inch.,309
"November 06, 2020",28,32,25,29,2.7 mm | 0.1 inch.,310
"November 07, 2020",28,32,25,29,1.4 mm | 0.1 inch.,311
"November 08, 2020",28,32,24,29,5.4 mm | 0.2 inch.,312
"November 09, 2020",28,32,24,29,7.1 mm | 0.3 inch.,313
"November 10, 2020",28,31,24,28,4.5 mm | 0.2 inch.,314
"November 11, 2020",28,31,24,28,3.7 mm | 0.1 inch.,315
"November 12, 2020",28,32,24,28,1.6 mm | 0.1 inch.,316
"November 13, 2020",28,32,25,28,1.3 mm | 0.1 inch.,317
"November 14, 2020",28,32,24,28,2.9 mm | 0.1 inch.,318
"November 15, 2020",28,31,24,28,4.2 mm | 0.2 inch.,319
"November 16, 2020",28,31,24,28,1.4 mm | 0.1 inch.,320
"November 17, 2020",28,32,24,28,1.7 mm | 0.1 inch.,321
"November 18, 2020",28,32,24,28,0.9 mm | 0.0 inch.,322
"November 19, 2020",28,31,25,28,1.0 mm | 0.0 inch.,323
"November 20, 2020",28,32,24,28,0.9 mm | 0.0 inch.,324
"November 21, 2020",28,32,24,28,2.4 mm | 0.1 inch.,325
"November 22, 2020",28,31,24,28,2.7 mm | 0.1 inch.,326
"November 23, 2020",28,32,24,28,1.0 mm | 0.0 inch.,327
"November 24, 2020",28,32,24,28,1.5 mm | 0.1 inch.,328
"November 25, 2020",28,31,24,28,2.0 mm | 0.1 inch.,329
"November 26, 2020",28,31,24,28,2.2 mm | 0.1 inch.,330
"November 27, 2020",28,31,24,28,2.3 mm | 0.1 inch.,331
"November 28, 2020",28,31,24,28,1.7 mm | 0.1 inch.,332
"November 29, 2020",28,31,24,28,6.6 mm | 0.3 inch.,333
"November 30, 2020",27,31,24,28,0.7 mm | 0.0 inch,334
"December 01, 2020",27,31,24,28,1.7 mm | 0.1 inch.,335
"December 02, 2020",27,31,24,28,3.3 mm | 0.1 inch.,336
"December 03, 2020",27,31,24,28,1.7 mm | 0.1 inch.,337
"December 04, 2020",27,31,24,28,3.2 mm | 0.1 inch.,338
"December 05, 2020",28,31,24,28,1.5 mm | 0.1 inch.,339
"December 06, 2020",27,31,24,28,1.9 mm | 0.1 inch.,340
"December 07, 2020",27,31,24,28,2.6 mm | 0.1 inch.,341
"December 08, 2020",27,31,24,28,3.3 mm | 0.1 inch.,342
"December 09, 2020",27,30,24,28,3.9 mm | 0.2 inch.,343
"December 10, 2020",27,31,24,28,5.5 mm | 0.2 inch.,344
"December 11, 2020",27,30,24,28,3.2 mm | 0.1 inch.,345
"December 12, 2020",28,31,24,28,1.8 mm | 0.1 inch.,346
"December 13, 2020",28,31,24,28,2.3 mm | 0.1 inch.,347
"December 14, 2020",28,31,24,28,2.0 mm | 0.1 inch.,348
"December 15, 2020",27,31,24,28,7.5 mm | 0.3 inch.,349
"December 16, 2020",27,31,24,27,7.2 mm | 0.3 inch.,350
"December 17, 2020",27,30,23,27,1.4 mm | 0.1 inch.,351
"December 18, 2020",27,30,24,27,2.7 mm | 0.1 inch.,352
"December 19, 2020",27,30,23,27,4.6 mm | 0.2 inch.,353
"December 20, 2020",27,31,24,27,0.6 mm | 0.0 inch.,354
"December 21, 2020",27,31,23,27,1.2 mm | 0.0 inch.,355
"December 22, 2020",27,31,23,27,0.4 mm | 0.0 inch.,356
"December 23, 2020",27,30,23,27,3.2 mm | 0.1 inch.,357
"December 24, 2020",27,30,23,27,1.8 mm | 0.1 inch.,358
"December 25, 2020",27,30,23,27,0.4 mm | 0.0 inch.,359
"December 26, 2020",26,30,23,27,3.2 mm | 0.1 inch.,360
"December 27, 2020",27,30,23,27,2.9 mm | 0.1 inch.,361
"December 28, 2020",27,30,23,27,1.5 mm | 0.1 inch.,362
"December 29, 2020",27,30,23,27,1.1 mm | 0.0 inch.,363
"December 30, 2020",27,30,23,27,2.0 mm | 0.1 inch.,364
"December 31, 2020",27,30,23,27,1.6 mm | 0.1 inch,365
